endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,1.803,0,1,1,1,1,Go to grab lunch with friends on friday,Do latch hook at home on my bed,0.02,0.04,8.8,0,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,1.208,0,2,2,2,1,In my house decorating for halloween,Visit haunted corn mazes in october for halloween with friends,0.03,0.04,3.3,1,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,1,1.681,0,3,3,3,1,Collect leaves outside and posting about it on instagram,Go to spirit halloween on fridays with my partner,0.04,0.04,3.3,1,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.04,2,1.559,0,4,4,4,1,Sit at my desk with a warm coffee to drink,Go to grab lunch with friends on friday,0.05,0.04,1.1,1,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,NAN,,NAN,0.53,5.47,,0,19,19,19,1,20,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_8.jpeg,did not like,3.195382774,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,4.208,NAN,,NAN,0.53,5.47,,0,20,20,20,1,21,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_11.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,4.719,NAN,,NAN,0.53,5.47,,0,21,21,21,1,22,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_18.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,4.386,NAN,,NAN,0.53,5.47,,0,22,22,22,1,23,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_13.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,space,1.523,NAN,,NAN,0.53,5.47,,0,23,23,23,1,24,Riley,Rej,Participant_Images/66c0df311f98d7c9661669d9/66c0df311f98d7c9661669d9_Images/66c0df311f98d7c9661669d9_Image_17.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,,
,,66c0df311f98d7c9661669d9,6685aa9113c938e83b4f1ea0,67002a0b081d933e26530c4b,2024-10-04_11h47.40.293,WTP_SM_Choice,2022.2.1,MacIntel,62.5,,,,,,,,,,,,,,,,,,21,,,,,,space,117.863,space,23.753,0.01,1,1.394,0,0,0,0,1,Collect leaves outside and posting about it on instagram,Spend evenings with friends playing video games,0.01,0.05,8.8,1,,,,,
