endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,3.6239,NAN,,NAN,0.39,5.61,,0,17,17,17,1,18,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_22.jpeg,did not like,2.682944783,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.0183,NAN,,NAN,0.39,5.61,,0,18,18,18,1,19,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_19.jpeg,did not like,4.51984296,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,16,,,,,,space,1.3227,space,0.542,0.04,2,1.009,0,0,0,0,1,Drink a fun cocktail together with my parents,Scroll on my phone in bed,0.01,0.04,1.1,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,0.8348,0,1,1,1,1,Try a new restaurant with my friends,Bake a new dessert for the first time,0.02,0.04,8.8,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,0.5711,0,2,2,2,1,Drink a nice bottle of wine while watching a show,Travel to a new place with my boyfriend,0.03,0.04,3.3,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,1,0.2908,0,3,3,3,1,Cook a delicious meal for dinner,Try a new restaurant with my friends,0.04,0.04,3.3,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.04,2,0.441,0,4,4,4,1,Bake a new dessert for the first time,Read our books in bed with my boyfriend,0.05,0.04,1.1,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,NAN,,NAN,0.56,5.44,,0,19,19,19,1,20,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_11.jpeg,did not like,3.195382774,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.6655,NAN,,NAN,0.56,5.44,,0,20,20,20,1,21,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_21.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,6.8251,NAN,,NAN,0.56,5.44,,0,21,21,21,1,22,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_3.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.6855,NAN,,NAN,0.56,5.44,,0,22,22,22,1,23,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_16.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.6244,NAN,,NAN,0.56,5.44,,0,23,23,23,1,24,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_5.jpeg,liked,2.7105123,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,21,,,,,,space,0.6937,space,0.518,0.01,1,0.4478,0,0,0,0,1,Scroll on my phone in bed,Go on a walk with my best friend,0.01,0.05,8.8,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.05,2,1.4725,0,1,1,1,1,Needlepoint a canvas on a rainy day,Read our books in bed with my boyfriend,0.02,0.05,4.4,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.03,1,0.4658,0,2,2,2,1,Go on a long walk,Travel to a new place with my boyfriend,0.03,0.05,1.1,1,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.05,2,0.5231,0,3,3,3,1,Play a board game with my family,Read a book in the park,0.04,0.05,4.4,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,0.3365,0,4,4,4,1,Play a board game with my family,Bake a new dessert for the first time,0.05,0.05,3.3,0,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,,,4,,4,0.75,5.25,,0,24,24,24,1,25,Charlie,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_8.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,,space,0.8269,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,space,1.8936,space,0.3784,NAN,,NAN,0.75,5.25,,0,25,25,25,1,26,Alex,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_2.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,,,,
,,60fdc3ada5f9d93d7976cc0c,2024-09-13_12h44.36.877,WTP_SM_Choice,2022.2.1,MacIntel,60.24096386,,,,,space,0.4079,NAN,,NAN,0.75,5.25,,0,26,26,26,1,27,Alex,Rej,Participant_Images/60fdc3ada5f9d93d7976cc0c/60fdc3ada5f9d93d7976cc0c_Images/60fdc3ada5f9d93d7976cc0c_Image_12.jpeg,did not like,3.799433026,,,,,,,,,,,,,,,,,,,,,,,
