endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,STUDY_ID,SESSION_ID,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,responses.keys,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,decision_price,responses.rt,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,NAN,,NAN,0.26,5.74,,0,14,14,14,1,15,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_13.jpeg,did not like,2.642157193,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.3408,NAN,,NAN,0.26,5.74,,0,15,15,15,1,16,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_6.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.517,NAN,,NAN,0.26,5.74,,0,16,16,16,1,17,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_16.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,1.2077,NAN,,NAN,0.26,5.74,,0,17,17,17,1,18,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_8.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,space,0.3538,NAN,,NAN,0.26,5.74,,0,18,18,18,1,19,Riley,Acc,Participant_Images/6627722f249e56fcefd07b8c/6627722f249e56fcefd07b8c_Images/6627722f249e56fcefd07b8c_Image_19.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,16,,,,,,space,1.1232,space,0.5736,1,0,0,0,0,1,Eat at a restaurant with my boyfriend,Write poetry underneath the shade of a willow tree,0.01,0.04,1.1,0,0.01,1.3748,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,17,,,,,,,,,,1,0,1,1,1,1,Walk around downtown denver,Gril hamburgers outside with my dad,0.02,0.04,8.8,1,0.02,1.6153,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,18,,,,,,,,,,1,0,2,2,2,1,Eat at a restaurant with my boyfriend,Drink iced tea on the front porch,0.03,0.04,3.3,0,0.03,2.4094,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,19,,,,,,,,,,1,0,3,3,3,1,Swim at the pool with my siblings,Hike at red rocks at night in the summer,0.04,0.04,3.3,0,0.04,2.8106,,,,,
,,6627722f249e56fcefd07b8c,6685aa9113c938e83b4f1ea0,66c900e693efe7a572effc53,2024-08-23_15h38.49.267,WTP_SM_Choice,2022.2.1,Win32,60.97560976,,,,,,,,,,,,,,,,,,20,,,,,,,,,,2,0,4,4,4,1,Walk around the mall with my mom,Write poetry underneath the shade of a willow tree,0.05,0.04,1.1,0,0.04,1.9641,,,,,
