endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt,social_left
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,4.822,NAN,,NAN,0.4,5.6,,0,22,22,22,1,23,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_10.jpeg,liked,4.940433059,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.953,NAN,,NAN,0.4,5.6,,0,23,23,23,1,24,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_14.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,21,,,,,,space,8.1321,space,2.9167,0.01,1,1.9065,0,0,0,0,1,Practice cooking a new recipe in my kitchen,Celebrate christmas with my family,0.01,0.05,8.8,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,2.7172,0,1,1,1,1,Go  to the gym ,Celebrate christmas with my family,0.02,0.05,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.03,1,2.9482,0,2,2,2,1,Listen to music in the car with the windows down,Watch a movie with my girlfriend,0.03,0.05,1.1,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0.04,1,3.5161,0,3,3,3,1,Lay down on the sand at the beach,Discuss research with my advisor,0.04,0.05,4.4,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,1,3.2134,0,4,4,4,1,Take a walk in my neighborhood on a sunny day,Drive around blasting music with my friends,0.05,0.05,3.3,,,,,1
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,,,2,,3,0.55,5.45,,0,24,24,24,1,25,Alex,Acc,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_22.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,space,1.7701,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,space,5.5768,space,1.5762,NAN,,NAN,0.55,5.45,,0,25,25,25,1,26,Riley,Rej,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_25.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,,,
,,6676fab6295042ff191ead64,2024-07-04_10h01.29.139,WTP_SM_Choice,2022.2.1,MacIntel,62.89308176,,,,,space,1.1452,NAN,,NAN,0.55,5.45,,0,26,26,26,1,27,Riley,Rej,Participant_Images/6676fab6295042ff191ead64/6676fab6295042ff191ead64_Images/6676fab6295042ff191ead64_Image_12.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,,,
