endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,right,left,leftmoney,rightmoney,WTP_ITI,social_left,Resume_keys.keys,Resume_keys.rt,end_screen_keys.keys,end_screen_keys.rt
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.8815,NAN,,NAN,0.31,5.69,,0,15,15,15,1,16,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_23.jpeg,did not like,4.456234322,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7824,NAN,,NAN,0.31,5.69,,0,16,16,16,1,17,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_10.jpeg,did not like,4.438512181,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,0.7107,NAN,,NAN,0.31,5.69,,0,17,17,17,1,18,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_21.jpeg,did not like,2.682944783,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.2271,NAN,,NAN,0.31,5.69,,0,18,18,18,1,19,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_3.jpeg,did not like,4.51984296,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,16,,,,,,space,0.7423,space,0.6463,0.01,1,4.071,0,0,0,0,1,Take a camping trip with my partner,Go to the beach,0.01,0.04,1.1,0,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,17,,,,,,,,,,0.02,1,2.5446,0,1,1,1,1,Take a camping trip with my partner,Play fetch with my dogs and teaching them tricks,0.02,0.04,8.8,0,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,18,,,,,,,,,,0.03,1,4.0181,0,2,2,2,1,Play fetch with my dogs and teaching them tricks,Try out a new restaurant with my partner,0.03,0.04,3.3,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,19,,,,,,,,,,0.04,1,3.3696,0,3,3,3,1,Cook a new recipe,Take a camping trip with my partner,0.04,0.04,3.3,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,20,,,,,,,,,,0.05,1,4.1069,0,4,4,4,1,Watch a game at the stadium,Seeing a movie with my partner,0.05,0.04,1.1,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,NAN,,NAN,0.46,5.54,,0,19,19,19,1,20,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_1.jpeg,did not like,3.195382774,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,3.5099,NAN,,NAN,0.46,5.54,,0,20,20,20,1,21,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_8.jpeg,liked,1.779333479,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,2.0746,NAN,,NAN,0.46,5.54,,0,21,21,21,1,22,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_13.jpeg,did not like,4.312468682,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.8722,NAN,,NAN,0.46,5.54,,0,22,22,22,1,23,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_22.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,3.3809,NAN,,NAN,0.46,5.54,,0,23,23,23,1,24,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_9.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,21,,,,,,space,0.598,space,0.5304,0.01,1,2.0785,0,0,0,0,1,Go to the beach,Go skiing or ice skating with my partner,0.01,0.05,8.8,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,22,,,,,,,,,,0.02,1,2.4738,0,1,1,1,1,Watch a game at the stadium,Going for a swim with my friends,0.02,0.05,4.4,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,23,,,,,,,,,,0.05,2,2.9432,0,2,2,2,1,Listen to my favorite playlist,Going for a swim with my friends,0.03,0.05,1.1,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,0,3,3,3,1,Go to the beach,Go to the bar to have some drinks with friends,0.04,0.05,4.4,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,,,,,,,,,,,,25,,,,,,,,,,0.05,2,9.189,0,4,4,4,1,Listen to my favorite playlist,Have a picnic with my family,0.05,0.05,3.3,1,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,,,2,,4,0.59,5.41,,0,24,24,24,1,25,Sam,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_15.jpeg,liked,3.602308302,,,,,,,,,,,,,,,,,,,space,0.9256,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,space,2.1689,space,1.21,NAN,,NAN,0.59,5.41,,0,25,25,25,1,26,Riley,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_23.jpeg,did not like,4.106391878,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.8293,NAN,,NAN,0.59,5.41,,0,26,26,26,1,27,Riley,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_20.jpeg,did not like,3.799433026,,,,,,,,,,,,,,,,,,,,,,
,,66f0bbf2ad2ccf85f492cbcb,2024-10-21_13h40.57.418,WTP_SM_Choice,2022.2.1,Win32,60.24096386,,,,,space,1.1044,NAN,,NAN,0.59,5.41,,0,27,27,27,1,28,Riley,Rej,Participant_Images/66f0bbf2ad2ccf85f492cbcb/66f0bbf2ad2ccf85f492cbcb_Images/66f0bbf2ad2ccf85f492cbcb_Image_1.jpeg,did not like,5.246980764,,,,,,,,,,,,,,,,,,,,,,
