participant,condition_recode,salience_mean,choice,stress_mean,stress_mean,rej-acc,ifnegvalue,choicertmean,timebetween,age,sex,order,overallaffect,prop_socialchoice,social_left,social_decisionprice_mean,nonsocial_decisionprice_mean
65fb2f8291cf16104e63effc,2,3.0,1.46,5.0,5.0,0.0,,1.84,,,,,5.0,0.82,,0.02975609756097561,0.031111111111111114
6600a119385d8631c41cd795,1,3.5,1.553191489361702,9.0,9.0,0.0,,2.978723404255319,,,,,9.0,0.8085106382978723,,0.027105263157894743,0.02888888888888889
6600a119385d8631c41cd795,2,5.0,1.489795918367347,9.0,9.0,0.0,,3.326530612244898,,,,,9.0,0.673469387755102,,0.02909090909090909,0.030000000000000006
6601a1251731342a7891c4f1,1,2.0,1.4,5.0,5.0,-0.5,,0.62,,,,,5.25,0.6,,0.023333333333333338,0.020000000000000004
6601a1251731342a7891c4f1,2,4.5,1.38,5.5,5.5,-0.5,,0.84,,,,,5.25,0.62,,0.02419354838709678,0.02105263157894737
660482648009855d3c92ce84,1,1.5,1.36,4.0,4.0,1.0,,2.04,,,,,3.5,0.64,,0.02875,0.030555555555555565
660482648009855d3c92ce84,2,3.5,1.42,3.0,3.0,1.0,,1.9,,,,,3.5,0.58,,0.027931034482758625,0.027619047619047623
661fee35973b5ff6fa3418ef,1,5.0,1.52,8.0,8.0,1.5,,1.12,,,,,7.25,0.5,,0.037200000000000004,0.0388
661fee35973b5ff6fa3418ef,2,4.5,1.5,6.5,6.5,1.5,,0.98,,,,,7.25,0.44,,0.03863636363636365,0.03714285714285715
66202163d9e5dba57c5e831d,1,2.0,1.4,5.0,5.0,-2.0,,0.84,,,,,6.0,0.52,,0.02307692307692308,0.020833333333333332
66202163d9e5dba57c5e831d,2,4.0,1.46,7.0,7.0,-2.0,,2.06,,,,,6.0,0.42,,0.020952380952380962,0.025172413793103456
6627722f249e56fcefd07b8c,1,3.0,1.52,3.0,3.0,-1.0,,1.22,,,,,3.5,0.5,,0.02,0.024000000000000004
6627722f249e56fcefd07b8c,2,3.0,1.3877551020408163,4.0,4.0,-1.0,,1.163265306122449,,,,,3.5,0.48,,0.024583333333333336,0.0204
662a754842502c24dbb45384,1,1.5,1.5510204081632653,6.5,6.5,-0.5,,1.8979591836734695,,,,,6.75,0.5102040816326531,,0.028000000000000004,0.03291666666666667
662a754842502c24dbb45384,2,3.5,1.469387755102041,7.0,7.0,-0.5,,3.020408163265306,,,,,6.75,0.5625,,0.03407407407407408,0.03761904761904763
662fad6b6f397a64efc67680,1,2.0,1.56,5.5,5.5,-0.5,,1.3,,,,,5.75,0.5,,0.022400000000000003,0.0216
662fad6b6f397a64efc67680,2,3.0,1.38,6.0,6.0,-0.5,,1.18,,,,,5.75,0.56,,0.025357142857142863,0.018636363636363642
6637ca249e9c662fac63cfcb,1,2.5,1.510204081632653,6.5,6.5,2.5,,2.4489795918367347,,,,,5.25,0.5918367346938775,,0.027241379310344836,0.027500000000000004
6637ca249e9c662fac63cfcb,2,3.0,1.6,4.0,4.0,2.5,,2.0,,,,,5.25,0.6122448979591837,,0.028666666666666674,0.028947368421052635
663a7379aca69d9c20130cd1,1,1.5,1.5,3.5,3.5,-1.5,,2.375,,,,,4.25,0.6041666666666666,,0.020689655172413796,0.02578947368421053
663a7379aca69d9c20130cd1,2,3.0,1.48,5.0,5.0,-1.5,,1.36,,,,,4.25,0.4375,,0.015238095238095242,0.025925925925925932
663e40120b553e7aa7f786b4,1,1.0,1.28,4.0,4.0,-3.0,,1.9,,,,,5.5,0.72,,0.02861111111111112,0.03714285714285714
663e40120b553e7aa7f786b4,2,3.5,1.36,7.0,7.0,-3.0,,2.38,,,,,5.5,0.64,,0.028124999999999997,0.028333333333333335
663e5cf112f5d047cf5c9fad,1,1.0,1.44,5.5,5.5,-1.5,,0.74,,,,,6.25,0.56,,0.022500000000000003,0.023636363636363643
663e5cf112f5d047cf5c9fad,2,4.0,1.46,7.0,7.0,-1.5,,0.66,,,,,6.25,0.54,,0.021851851851851855,0.022173913043478266
6643c34315b04d498e71017e,1,2.0,1.4375,5.5,5.5,-3.5,,2.4166666666666665,,,,,7.25,0.5833333333333334,,0.02464285714285715,0.023999999999999997
6643c34315b04d498e71017e,2,3.5,1.4375,9.0,9.0,-3.5,,1.7291666666666667,,,,,7.25,0.5106382978723404,,0.02666666666666667,0.020000000000000004
6645a794be029b87060615aa,1,2.0,1.46,4.0,4.0,-2.0,,2.06,,,,,5.0,0.54,,0.027777777777777783,0.023913043478260877
6645a794be029b87060615aa,2,4.5,1.58,6.0,6.0,-2.0,,2.0,,,,,5.0,0.36,,0.028333333333333335,0.0275
66463e4efb99fba5a67a010a,1,1.5,1.48,2.0,2.0,0.0,,1.86,,,,,2.0,0.56,,0.020714285714285716,0.024090909090909093
66463e4efb99fba5a67a010a,2,2.0,1.42,2.0,2.0,0.0,,1.26,,,,,2.0,0.6,,0.023666666666666673,0.020999999999999998
66465b2522d14ab162ff2dbd,1,4.5,1.469387755102041,9.0,9.0,0.0,,2.3877551020408165,,,,,9.0,0.4897959183673469,,0.02666666666666667,0.024000000000000004
66465b2522d14ab162ff2dbd,2,5.0,1.44,9.0,9.0,0.0,,1.6,,,,,9.0,0.5714285714285714,,0.026785714285714295,0.021904761904761906
665629a30c7e3f40e8f3d1d5,1,1.0,1.48,2.0,2.0,-0.5,,1.98,,,,,2.25,0.44,,0.022727272727272724,0.022500000000000003
665629a30c7e3f40e8f3d1d5,2,4.0,1.4285714285714286,2.5,2.5,-0.5,,1.6122448979591837,,,,,2.25,0.46938775510204084,,0.021739130434782608,0.02384615384615385
665fc69fe8d5562ac1294f30,1,4.0,1.54,6.5,6.5,0.0,,3.24,,,,,6.5,0.46,,0.020000000000000007,0.02370370370370371
665fc69fe8d5562ac1294f30,2,4.0,1.5918367346938775,6.5,6.5,0.0,,3.0,,,,,6.5,0.40816326530612246,,0.020000000000000004,0.02344827586206897
6665fb9d3202800c8227cde5,1,3.5,1.56,9.0,9.0,2.5,,3.2,,,,,7.75,0.66,,0.026363636363636367,0.025294117647058825
6665fb9d3202800c8227cde5,2,4.0,1.44,6.5,6.5,2.5,,3.44,,,,,7.75,0.66,,0.03333333333333333,0.025294117647058825
66661b49621ea96feaf4f6f3,1,2.0,1.44,8.0,8.0,0.0,,2.16,,,,,8.0,0.9,,0.02844444444444445,0.03
66661b49621ea96feaf4f6f3,2,2.5,1.4,8.0,8.0,0.0,,2.72,,,,,8.0,0.6,,0.026333333333333334,0.03550000000000001
6669a122ab60c120f94b3aa5,1,3.0,1.4,4.0,4.0,0.0,,1.1,,,,,4.0,0.54,,0.023333333333333338,0.021739130434782615
6669a122ab60c120f94b3aa5,2,2.5,1.38,4.0,4.0,0.0,,1.1,,,,,4.0,0.54,,0.022592592592592595,0.022173913043478256
666e123eb6aff45cf5be575e,1,1.0,1.6,4.5,4.5,-1.5,,1.6,,,,,5.25,0.44,,0.02727272727272728,0.03178571428571429
666e123eb6aff45cf5be575e,2,2.5,1.6,6.0,6.0,-1.5,,1.42,,,,,5.25,0.48,,0.027916666666666663,0.03423076923076924
6670297f1e47e468c3605ef4,1,2.0,1.553191489361702,9.0,9.0,0.0,,3.106382978723404,,,,,9.0,0.8723404255319149,,0.03170731707317074,0.02
6670297f1e47e468c3605ef4,2,2.0,1.469387755102041,9.0,9.0,0.0,,2.2448979591836733,,,,,9.0,0.7551020408163265,,0.032432432432432434,0.03454545454545454
66757cddd8d92a5cbfda353f,1,2.5,1.46,8.0,8.0,-1.0,,2.52,,,,,8.5,0.78,,0.030256410256410262,0.028181818181818183
66757cddd8d92a5cbfda353f,2,4.0,1.4565217391304348,9.0,9.0,-1.0,,2.4782608695652173,,,,,8.5,0.6326530612244898,,0.028214285714285723,0.02388888888888889
